,Fact id,Fact,SF,Fact actions,Recourse,num_cfs,uncertainty,fidelity,exceptionality,sparsity,Value
0,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[12.0, 8.0, 2.0, 1.0, 0.0, 0.0, 1.0]","[3, 0, 3]","[4, 3, 0]",False,1.0,0.26455461358030635,0.7777777777777778,1.0,0
1,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[10.0, 8.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 0, 3]","[4, 2, 3]",False,1.0,0.20009324327111244,0.8333333333333334,1.0,0
2,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[21.0, 8.0, 2.0, 1.0, 0.0, 2.0, 2.0]","[3, 0, 3]","[1, 4, 4]",False,1.0,0.02854568138718605,1.0,1.0,0
3,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[6.0, 8.0, 2.0, 1.0, 1.0, 0.0, 1.0]","[3, 0, 3]","[4, 3, 3]",False,1.0,0.4486341041823228,0.7000000000000001,1.0,0
4,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[17.0, 8.0, 2.0, 1.0, 1.0, 0.0, 1.0]","[3, 0, 3]","[4, 0, 3]",False,1.0,0.13266341015696526,0.9166666666666666,1.0,0
5,2,"[16.0, 8.0, 2.0, 1.0, 0.0, 2.0, 1.0]","[15.0, 8.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[3, 0, 3]","[4, 2, -1]",False,1.0,0.047887587919831276,1.0,0.6666666666666666,0
6,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[21.0, 4.0, 2.0, 1.0, 2.0, 1.0, 0.0]","[3, 3, 3]","[1, 1, 4]",False,1.0,0.03837471889952818,1.0,1.0,0
7,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[21.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[1, 1, -1]",False,1.0,0.04360295832157135,1.0,0.6666666666666666,0
8,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[1.0, 4.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 3, 5]",False,1.0,0.413273381224523,0.6122004357298475,1.0,0
9,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[6.0, 4.0, 2.0, 0.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[3, 4, 5]",False,1.0,0.244422275495405,0.8888888888888888,1.0,0
10,3,"[11.0, 4.0, 2.0, 1.0, 0.0, 1.0, 1.0]","[11.0, 4.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 4, 1]",False,1.0,0.2695303459962209,0.7222222222222222,1.0,0
11,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[11.0, 9.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[0, 0, 4]",False,1.0,0.15800906733299294,0.7777777777777778,1.0,0
12,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[6.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[5, 3, -1]",False,1.0,0.35164707340300083,0.8333333333333333,0.6666666666666666,0
13,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 2.0, 1.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[2, 3, 4]",False,1.0,0.1884713682035605,0.75,1.0,0
14,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 1.0, 1.0, 0.0, 1.0, 1.0]","[3, 3, 3]","[4, 3, 2]",False,1.0,0.24523794814012945,0.7037037037037037,1.0,0
15,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[16.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[5, 4, 1]",False,1.0,0.012028863420709968,1.0,1.0,0
16,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[1.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[4, 3, 3]",False,1.0,0.24535568594001234,0.6862745098039215,1.0,0
17,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[16.0, 9.0, 1.0, 1.0, 0.0, 0.0, 1.0]","[3, 3, 3]","[4, 1, 4]",False,1.0,0.02574854134581983,0.8333333333333334,1.0,0
18,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[16.0, 9.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[3, 3, 3]","[4, 1, -1]",False,1.0,0.017041857005096972,1.0,0.6666666666666666,0
19,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[6.0, 9.0, 1.0, 2.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 4, 4]",False,0.3,0.5303305089473724,0.5694444444444444,1.0,0
20,4,"[11.0, 9.0, 0.0, 1.0, 2.0, 1.0, 1.0]","[5.0, 9.0, 2.0, 2.0, 2.0, 1.0, 1.0]","[3, 3, 3]","[3, 4, 2]",False,0.3,0.5136057386795679,0.9259259259259259,1.0,0
21,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[11.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[3, 0, 4]","[5, 3, -1]",False,1.0,0.012462560960557312,0.5714285714285714,0.6666666666666666,0
22,14,"[16.0, 18.0, 1.0, 1.0, 0.0, 1.0, 2.0]","[15.0, 18.0, 1.0, 1.0, 0.0, 2.0, 2.0]","[3, 0, 4]","[0, 4, 2]",False,0.3,0.33104222267866135,0.8571428571428571,1.0,0
